"","Chennai Super Kings","Delhi Capitals","Kings XI Punjab","Kolkata Knight Riders","Mumbai Indians","Rajasthan Royals","Royal Challengers Bangalore"
"1",290,169,210,345,171,217,378
"2",499,140,177,374,181,226,355
"3",265,157,203,328,185,236,350
"4",315,151,206,350,200,217,425
"5",278,141,179,343,171,415,349
"6",295,150,208,355,190,231,369
"7",284,150,197,368,179,225,387
"8",327,322,212,342,181,236,344
"9",271,261,211,369,200,221,363
"10",286,156,205,365,174,239,357
"11",276,150,206,359,174,230,388
"12",282,145,202,339,190,223,373
"13",304,148,191,366,194,237,393
"14",297,142,202,345,155,222,357
"15",284,156,198,339,181,237,366
"16",299,145,200,351,212,227,384
"17",287,143,212,355,196,239,369
"18",274,160,198,387,191,235,377
"19",323,159,207,363,184,232,375
"20",262,137,185,325,168,246,475
"21",289,141,196,361,182,245,357
"22",266,147,209,362,192,220,363
"23",555,143,207,342,186,237,373
"24",328,151,201,352,208,241,388
"25",334,160,198,377,196,232,383
"26",302,150,201,358,221,258,370
"27",289,156,193,353,178,241,368
"28",296,168,210,335,180,261,406
"29",311,133,186,378,185,234,369
"30",320,159,205,372,183,239,378
"31",995,142,207,340,178,238,355
"32",940,148,198,332,190,241,362
"33",270,157,198,316,398,220,368
"34",332,176,232,355,184,245,373
"35",298,161,195,346,197,248,375
"36",312,137,183,338,157,218,370
"37",295,153,201,385,205,229,384
"38",306,163,200,357,164,248,368
"39",306,150,204,353,185,234,368
"40",257,155,195,328,286,233,359
"41",307,175,223,369,191,245,378
"42",295,138,233,361,226,228,370
"43",299,156,214,336,200,259,372
"44",269,140,196,345,161,803,363
"45",272,150,186,326,159,239,373
"46",308,169,191,337,182,253,381
"47",269,140,203,369,182,235,377
"48",306,142,191,355,171,222,372
"49",262,148,189,341,185,243,396
"50",288,157,199,373,189,241,383
"51",296,142,211,365,200,255,374
"52",274,143,195,366,178,241,365
"53",323,164,208,366,193,251,384
"54",335,159,194,366,169,229,390
"55",296,171,207,356,203,250,393
"56",290,168,188,351,366,218,371
"57",285,142,187,344,166,217,348
