"","Chennai Super Kings","Delhi Capitals","Kings XI Punjab","Kolkata Knight Riders","Rajasthan Royals","Royal Challengers Bangalore","Sunrisers Hyderabad"
"1",231,253,223,274,249,382,245
"2",240,232,219,289,237,356,251
"3",208,212,199,274,219,240,200
"4",220,240,218,303,256,358,236
"5",234,217,224,303,223,282,225
"6",210,246,184,252,227,316,207
"7",211,252,226,274,227,362,235
"8",216,247,196,272,223,351,260
"9",246,229,225,289,228,274,225
"10",232,222,197,270,224,257,193
"11",189,225,182,273,238,325,218
"12",223,245,215,271,225,339,233
"13",245,240,208,304,271,353,229
"14",214,261,210,268,226,334,242
"15",252,224,237,300,236,295,240
"16",235,259,226,268,248,357,237
"17",254,245,209,289,249,360,240
"18",237,250,203,262,227,348,236
"19",253,255,197,263,248,349,247
"20",234,234,210,287,237,363,238
"21",224,212,195,290,212,250,197
"22",213,208,200,291,203,241,201
"23",212,206,205,294,197,248,200
"24",236,242,218,280,246,336,240
"25",230,217,209,292,203,264,225
"26",234,240,221,297,268,354,267
"27",244,259,223,269,248,351,244
"28",237,227,220,300,232,278,226
"29",198,224,191,281,243,330,207
"30",230,248,211,305,238,355,238
"31",232,223,198,316,216,279,229
"32",253,260,212,269,243,342,258
"33",216,255,213,258,223,354,227
"34",206,235,183,255,211,320,233
"35",230,250,197,273,240,360,229
"36",249,229,223,294,224,281,232
"37",208,226,195,275,228,326,193
"38",251,229,201,277,243,365,240
"39",223,209,188,283,215,247,207
"40",224,230,193,280,229,322,210
"41",203,234,197,280,223,339,200
"42",227,254,209,299,254,365,250
"43",241,234,225,303,259,362,236
"44",221,210,189,277,204,249,180
"45",241,218,218,305,211,285,225
"46",215,246,237,293,249,360,260
"47",245,217,206,307,208,275,225
"48",216,247,208,281,235,353,243
"49",237,242,202,286,237,343,236
"50",220,240,214,305,245,355,237
"51",247,245,221,290,257,354,239
"52",244,233,230,304,224,272,218
"53",223,231,175,244,227,332,220
"54",247,250,195,276,231,354,250
"55",238,249,222,301,251,362,251
"56",227,253,213,272,249,357,258
"57",235,261,210,282,247,352,236
"58",243,244,202,293,254,353,243
"59",231,248,212,273,255,368,238
"60",218,255,227,310,259,356,246
"61",232,250,208,284,233,362,224
"62",223,250,216,267,251,354,247
"63",225,211,205,279,204,256,187
"64",206,246,211,272,225,346,240
"65",250,233,236,304,230,290,238
"66",244,236,218,304,205,264,254
"67",238,245,214,269,241,350,240
"68",226,204,198,288,222,257,197
"69",229,212,190,293,211,245,191
"70",234,237,223,306,242,275,226
"71",230,239,240,282,250,348,240
"72",218,248,214,300,245,353,244
"73",235,240,237,280,258,346,239
"74",230,222,229,290,225,275,224
"75",229,237,215,260,228,360,242
"76",216,215,192,294,195,259,201
"77",239,230,230,302,228,272,229
"78",226,238,221,292,247,356,240
"79",217,227,181,267,247,317,205
"80",197,222,201,270,224,320,207
"81",227,247,223,296,250,359,249
"82",223,238,176,239,218,312,201
"83",226,246,223,264,255,350,243
"84",251,227,229,300,229,261,247
"85",245,228,229,299,227,273,229
"86",249,259,209,254,241,362,255
"87",247,243,235,316,229,291,224
"88",222,208,189,283,209,262,194
"89",253,230,229,302,223,275,242
"90",244,263,219,287,250,349,246
"91",216,220,193,266,231,331,207
"92",200,221,180,266,224,337,197
"93",236,242,210,285,255,369,242
"94",251,224,225,300,225,289,215
"95",225,256,205,290,234,343,239
"96",239,245,194,257,228,367,251
"97",214,226,210,296,229,345,241
"98",242,246,227,306,234,272,229
"99",238,249,209,284,259,344,253
"100",262,234,224,306,228,285,229
"101",233,257,210,265,241,356,242
"102",235,245,214,275,231,350,262
"103",230,243,210,290,254,351,244
"104",235,223,224,300,216,300,216
"105",209,215,185,291,212,255,195
"106",236,238,204,295,241,347,243
"107",226,253,206,267,232,355,246
"108",233,231,215,298,259,349,235
"109",221,204,191,276,206,240,202
"110",240,242,196,269,229,344,247
"111",236,243,222,299,252,347,221
"112",239,234,234,296,258,363,238
"113",243,220,220,303,208,282,213
"114",236,230,216,313,222,267,227
"115",241,247,228,287,260,357,255
"116",253,232,231,315,234,277,233
"117",206,238,180,250,212,314,200
"118",252,210,219,305,211,281,214
"119",217,244,219,282,234,336,232
"120",228,251,205,262,242,361,251
"121",222,241,209,302,233,346,243
"122",205,244,210,255,230,350,237
"123",214,231,195,279,218,318,225
"124",235,232,223,314,216,283,243
"125",243,234,222,305,216,275,230
"126",223,211,188,270,207,262,183
"127",233,248,192,269,250,344,237
"128",232,255,225,263,243,342,244
"129",246,237,204,300,256,342,255
"130",232,253,217,269,237,353,242
"131",243,220,220,307,225,297,224
"132",263,227,230,311,240,290,225
