"","Chennai Super Kings","Delhi Capitals","Kings XI Punjab","Kolkata Knight Riders","Rajasthan Royals","Royal Challengers Bangalore","Sunrisers Hyderabad"
"1",232,239,222,277,234,360,244
"2",238,245,211,273,240,357,254
"3",251,255,223,272,251,347,237
"4",215,244,219,271,242,353,237
"5",221,225,223,311,234,289,226
"6",233,245,226,298,250,369,246
"7",210,235,208,286,212,359,239
"8",235,241,201,270,232,354,235
"9",212,231,225,310,210,279,213
"10",210,239,211,270,241,349,242
"11",217,231,210,296,244,345,236
"12",232,223,229,292,215,281,226
"13",240,247,227,289,246,339,244
"14",233,247,233,296,269,336,245
"15",238,238,213,291,246,332,234
"16",245,228,226,305,210,285,222
"17",205,233,219,281,228,347,239
"18",228,241,191,244,223,323,190
"19",239,253,222,284,253,374,260
"20",243,235,215,307,213,291,233
"21",239,241,221,282,261,363,232
"22",238,243,232,311,231,274,235
"23",240,241,213,296,258,358,244
"24",234,239,219,269,245,358,250
"25",212,238,201,286,240,368,253
"26",235,236,220,280,231,329,253
"27",243,255,219,292,237,355,239
"28",249,237,224,307,249,366,240
"29",238,239,206,296,264,361,236
"30",229,218,213,294,219,278,226
"31",231,245,238,315,250,356,233
"32",243,216,223,306,249,286,240
"33",211,237,182,249,225,331,203
"34",225,256,215,290,240,342,254
"35",226,242,210,286,253,353,240
"36",228,251,222,270,235,356,247
"37",230,240,209,264,223,358,234
"38",201,232,189,253,212,333,214
"39",220,241,206,267,237,344,229
"40",216,223,222,300,230,284,221
"41",231,234,233,280,257,350,245
"42",198,227,200,283,231,330,213
"43",251,222,219,288,241,280,226
"44",248,221,218,323,225,283,226
"45",218,246,228,281,227,370,240
"46",241,233,225,298,223,280,221
"47",213,243,173,245,222,333,211
"48",221,211,200,306,207,245,199
"49",226,249,214,307,257,371,240
"50",223,207,185,290,205,248,195
"51",210,250,221,270,226,350,241
"52",264,228,215,300,217,289,233
"53",219,217,194,283,225,334,219
"54",247,232,216,282,255,367,260
"55",232,251,222,299,249,351,238
"56",253,233,233,298,240,289,231
"57",237,255,201,260,239,348,246
"58",193,228,203,275,226,325,214
"59",218,247,218,279,229,333,248
"60",248,222,218,295,234,280,232
"61",216,249,208,269,240,347,251
"62",217,253,217,279,248,355,252
"63",234,243,201,274,238,357,239
"64",225,270,215,267,243,353,243
"65",249,235,226,311,238,298,237
"66",212,205,191,294,204,259,208
"67",214,240,220,294,242,366,228
"68",239,261,216,279,243,340,244
"69",250,237,219,283,236,372,240
"70",234,238,194,277,240,357,244
"71",210,232,191,258,216,315,202
"72",229,241,202,271,224,354,233
"73",256,229,224,295,233,294,218
"74",222,248,221,296,236,341,244
"75",232,254,218,277,236,339,240
"76",214,249,200,272,219,349,237
"77",240,256,216,274,248,364,237
"78",235,221,225,303,224,286,221
"79",244,230,215,321,229,283,217
"80",241,232,222,307,223,280,240
"81",221,232,224,306,238,364,253
"82",252,227,231,296,226,281,221
"83",237,255,210,261,239,361,234
"84",233,210,196,290,210,245,199
"85",230,237,217,290,250,352,252
"86",239,231,212,302,243,326,248
"87",228,208,192,283,189,249,199
"88",231,240,220,288,251,347,240
"89",205,224,191,277,220,315,207
"90",230,244,214,283,234,357,225
"91",220,235,209,290,235,338,232
"92",210,241,210,295,238,350,243
"93",257,235,219,308,243,280,231
"94",238,257,207,285,245,356,265
"95",234,242,233,312,258,342,244
"96",221,253,211,284,243,362,241
"97",214,226,184,263,241,337,199
"98",245,257,204,289,226,346,239
"99",228,241,205,260,248,350,239
"100",234,250,209,268,231,350,231
"101",215,225,224,297,212,294,222
"102",235,257,219,268,246,348,246
"103",231,248,211,280,222,361,234
"104",206,232,182,242,211,322,212
"105",223,252,203,270,243,342,248
"106",229,222,218,304,217,277,228
"107",220,235,207,280,239,356,237
"108",227,228,215,298,232,354,238
"109",261,236,217,301,228,277,238
