"","Chennai Super Kings","Delhi Capitals","Kings XI Punjab","Kolkata Knight Riders","Mumbai Indians","Rajasthan Royals","Royal Challengers Bangalore"
"1",329,150,191,360,167,220,359
"2",299,169,212,350,203,244,377
"3",278,169,181,339,177,229,368
"4",265,152,203,344,181,238,367
"5",280,548,203,350,167,230,388
"6",291,153,216,325,159,231,368
"7",265,140,197,333,166,506,385
"8",283,140,194,343,170,794,685
"9",333,171,217,342,213,258,358
"10",309,166,187,337,267,233,386
"11",318,141,196,350,160,232,361
"12",289,138,194,355,192,223,365
"13",311,143,205,369,200,375,357
"14",278,138,189,341,178,213,361
"15",283,147,209,384,190,222,365
"16",295,151,210,350,190,236,372
"17",283,161,195,328,196,235,379
"18",272,157,196,362,201,197,374
"19",276,151,198,370,207,248,382
"20",304,168,212,359,208,241,388
"21",330,152,200,376,176,247,383
"22",284,144,196,363,187,209,359
"23",319,170,211,359,198,234,369
"24",320,167,218,370,208,237,377
"25",295,226,202,366,198,246,384
"26",324,159,211,363,204,216,398
"27",319,162,192,362,177,241,370
"28",288,150,199,356,189,246,379
"29",267,144,192,360,179,222,345
"30",306,162,198,336,164,241,360
"31",260,148,217,352,193,234,358
"32",293,161,188,354,166,229,355
"33",292,153,286,361,197,247,382
"34",271,154,180,318,167,228,364
"35",272,142,209,360,194,225,376
"36",340,162,201,379,189,233,372
"37",289,171,212,343,200,289,382
"38",344,159,201,360,188,228,370
"39",290,167,199,358,189,245,374
"40",297,149,206,341,183,230,501
"41",328,144,211,364,202,215,360
"42",278,141,187,366,193,226,1092
"43",743,140,185,362,165,212,358
"44",288,155,203,340,171,215,350
"45",272,145,185,371,170,223,363
"46",1316,151,203,336,194,229,370
"47",318,149,211,339,192,215,358
"48",284,168,193,352,215,252,369
"49",306,156,195,358,191,442,383
"50",344,166,216,342,203,234,392
"51",303,170,190,357,191,234,373
"52",285,185,211,363,188,253,367
"53",265,148,202,332,171,224,353
"54",296,345,201,353,220,238,370
"55",287,160,190,356,178,240,381
"56",307,278,209,355,185,237,378
"57",294,163,208,334,191,239,373
"58",278,146,207,339,196,221,362
"59",280,154,202,342,207,216,376
"60",298,174,198,360,167,236,356
"61",292,158,210,369,202,249,396
"62",319,143,212,352,203,241,382
"63",295,172,213,357,186,257,395
"64",327,148,187,351,173,215,362
"65",284,139,183,369,381,219,387
"66",310,150,204,381,183,235,377
"67",304,141,197,359,202,216,505
"68",272,167,222,350,179,241,376
"69",300,173,221,355,190,257,361
"70",280,153,213,342,176,253,358
"71",291,172,184,392,175,245,375
"72",303,142,217,341,196,224,364
"73",296,165,202,365,452,267,383
"74",284,160,208,355,174,232,383
"75",304,151,192,336,181,229,362
"76",264,156,199,329,307,244,377
"77",304,163,194,359,188,235,373
"78",303,162,190,336,169,232,415
"79",284,157,184,337,160,232,372
"80",279,180,193,337,160,231,365
"81",271,156,201,337,174,235,575
"82",272,150,196,386,183,227,376
"83",291,159,209,352,202,234,375
"84",307,176,199,386,199,241,373
"85",302,171,186,328,179,238,369
"86",299,167,221,343,210,245,366
"87",330,142,212,353,175,244,367
"88",664,146,201,338,170,216,364
"89",272,149,199,361,168,236,369
"90",294,154,195,359,199,245,379
"91",283,153,207,348,174,217,371
"92",270,146,171,341,175,227,353
"93",316,161,188,337,165,243,377
"94",294,151,210,346,214,225,361
"95",274,144,205,352,196,234,354
"96",275,132,189,356,175,223,1018
"97",289,139,208,368,200,256,369
"98",273,167,220,352,190,248,363
"99",272,165,196,328,149,258,386
"100",287,154,206,366,189,240,369
"101",289,160,203,342,201,239,363
"102",322,170,193,351,176,238,381
"103",350,170,209,339,211,246,366
"104",305,153,202,373,193,230,400
"105",299,172,209,359,201,462,382
"106",324,144,215,368,179,228,363
"107",269,162,189,366,166,253,379
"108",300,166,183,350,182,240,369
"109",287,162,206,373,178,234,368
"110",292,179,221,352,193,251,380
"111",296,151,200,371,180,211,392
"112",280,151,198,347,168,227,368
"113",282,151,609,366,189,244,394
"114",550,153,187,380,174,230,366
"115",265,153,206,351,201,227,348
"116",285,150,200,313,187,233,367
"117",268,151,194,348,186,240,358
"118",294,154,199,331,172,228,393
"119",309,148,207,381,212,216,373
"120",273,147,197,337,237,239,359
"121",327,173,226,342,194,258,372
"122",312,147,205,363,173,226,372
"123",283,152,193,341,175,223,370
"124",270,151,192,341,191,234,383
"125",281,167,209,371,208,237,385
"126",283,134,188,348,180,219,362
"127",297,146,200,344,168,229,365
"128",295,171,211,332,182,357,374
"129",276,162,199,364,186,222,1061
"130",261,159,201,328,179,227,365
"131",286,175,223,360,210,228,443
"132",282,139,211,351,193,240,354
"133",317,166,203,330,181,315,408
"134",291,146,192,355,173,220,362
"135",288,151,201,368,201,964,379
"136",300,158,199,368,190,239,377
"137",293,144,199,365,187,232,369
"138",295,175,209,344,199,234,377
