"","Chennai Super Kings","Delhi Capitals","Kings XI Punjab","Kolkata Knight Riders","Mumbai Indians","Rajasthan Royals","Royal Challengers Bangalore"
"1",266,137,186,346,164,214,367
"2",376,156,212,365,200,221,365
"3",297,158,194,372,189,234,482
"4",309,167,207,380,161,227,365
"5",297,143,211,352,185,217,396
"6",277,162,199,363,191,278,395
"7",338,167,197,363,179,237,495
"8",306,148,215,358,196,228,378
"9",289,154,202,348,169,234,360
"10",330,163,186,347,171,248,372
"11",277,139,197,360,164,223,378
"12",268,157,202,326,178,232,369
"13",268,155,201,313,181,247,364
"14",276,137,205,351,459,230,363
"15",275,149,191,337,196,248,370
"16",292,155,198,345,220,231,372
"17",287,134,212,358,186,231,371
"18",319,152,213,347,169,238,363
"19",293,170,221,341,178,248,382
"20",284,148,187,343,181,206,374
"21",279,150,191,339,166,231,368
"22",291,143,178,371,155,228,362
"23",331,170,203,341,209,253,376
"24",292,180,196,359,191,245,369
"25",310,143,207,362,194,236,372
"26",397,158,202,363,205,249,388
"27",278,165,194,335,173,240,355
"28",296,165,197,336,166,221,360
"29",335,154,204,342,204,253,392
"30",279,158,209,373,198,237,373
"31",272,158,208,334,176,230,364
"32",295,165,199,351,174,253,388
"33",286,166,405,350,202,236,369
"34",286,158,203,343,161,239,355
"35",286,146,200,369,194,232,367
"36",287,154,197,348,191,224,364
"37",265,142,186,354,199,228,391
"38",309,168,201,350,198,255,375
"39",292,163,208,374,202,223,385
"40",270,146,179,360,179,214,365
"41",547,154,194,341,172,217,364
"42",296,163,205,341,195,239,371
"43",259,155,212,345,201,242,383
"44",324,155,199,355,170,246,382
"45",298,164,204,364,170,234,364
"46",311,157,209,361,204,241,370
"47",327,147,228,359,193,233,381
"48",298,154,192,370,197,242,372
"49",310,153,208,368,195,220,389
"50",401,163,209,353,188,232,378
"51",292,149,197,331,175,266,377
"52",304,139,215,358,209,209,392
"53",299,176,212,355,183,239,601
"54",321,151,204,370,193,229,359
"55",286,157,191,344,189,259,389
"56",337,166,199,341,168,239,378
"57",279,167,194,384,180,221,367
"58",270,151,192,362,210,228,453
"59",274,152,211,363,188,228,380
"60",294,157,205,355,189,244,363
"61",319,142,217,374,201,236,371
"62",284,164,188,343,172,246,361
"63",301,149,200,325,178,234,361
"64",313,176,200,348,151,236,386
"65",289,146,202,331,176,216,373
"66",295,155,208,354,197,224,374
"67",275,166,191,353,168,225,393
"68",275,169,208,347,206,242,390
"69",291,158,213,332,199,227,365
"70",304,147,222,373,204,237,366
"71",264,163,190,341,163,230,369
"72",262,169,210,351,188,231,380
"73",285,157,213,333,181,216,361
"74",304,154,204,357,170,224,366
"75",309,156,205,341,205,237,370
"76",322,166,202,362,210,254,420
"77",301,146,194,349,200,219,363
"78",285,153,196,343,172,242,357
"79",281,136,178,331,167,219,442
"80",311,151,202,363,194,252,385
"81",305,138,183,349,178,223,350
"82",261,162,190,325,173,236,365
"83",285,154,201,317,172,234,353
"84",265,140,186,340,161,220,376
"85",313,164,194,344,155,218,376
"86",329,163,193,345,179,307,367
"87",316,172,188,358,186,246,397
"88",279,142,204,370,204,241,370
"89",299,158,200,367,178,236,393
"90",284,137,196,348,193,233,361
"91",299,161,201,336,164,240,380
"92",298,176,215,342,188,251,379
