"","Chennai Super Kings","Delhi Capitals","Kings XI Punjab","Kolkata Knight Riders","Rajasthan Royals","Royal Challengers Bangalore","Sunrisers Hyderabad"
"1",253,222,200,295,218,276,234
"2",245,222,222,312,220,289,230
"3",184,229,196,280,218,329,202
"4",247,234,227,302,234,286,232
"5",234,253,216,305,257,353,235
"6",211,242,181,256,228,321,196
"7",238,222,218,306,218,283,217
"8",241,222,223,307,226,284,217
"9",210,224,186,257,235,329,215
"10",254,224,220,303,226,277,231
"11",237,221,212,294,204,289,221
"12",216,250,183,254,229,324,211
"13",251,228,214,306,234,304,243
"14",206,242,198,303,237,356,238
"15",249,229,217,305,239,287,242
"16",225,241,212,269,246,363,241
"17",238,249,213,255,242,348,262
"18",230,237,205,262,228,360,222
"19",242,256,208,254,239,366,242
"20",251,233,221,288,211,295,209
"21",240,243,206,262,238,336,244
"22",191,225,186,278,238,329,204
"23",216,241,195,255,228,333,197
"24",232,237,214,267,235,338,231
"25",240,236,212,293,255,352,233
"26",236,248,224,295,256,365,247
"27",238,227,231,303,224,280,248
"28",229,263,219,281,255,363,224
"29",253,231,220,277,245,346,231
"30",208,226,197,254,228,334,196
"31",211,215,205,287,214,264,203
"32",219,231,210,309,237,360,234
"33",232,241,209,260,236,370,253
"34",223,241,222,280,236,348,226
"35",228,227,205,317,212,290,223
"36",219,240,212,286,256,362,239
"37",241,255,218,257,248,353,243
"38",204,235,179,255,219,331,205
"39",255,234,235,304,232,273,223
"40",188,229,190,282,225,327,210
"41",250,228,226,303,218,282,226
"42",235,246,213,299,252,347,234
"43",208,226,195,264,231,334,206
"44",198,235,187,250,219,324,203
"45",241,238,217,294,215,258,223
"46",261,233,235,307,230,280,231
"47",231,252,202,279,251,348,262
"48",210,212,189,285,201,257,196
"49",234,245,229,291,259,342,224
"50",242,218,229,306,214,288,246
"51",210,219,191,272,235,329,211
"52",258,231,222,300,221,307,239
"53",229,243,216,286,237,350,236
"54",234,241,203,293,257,353,245
"55",250,240,229,291,232,300,223
"56",248,249,199,273,250,362,224
"57",237,258,220,275,243,369,245
"58",233,224,220,312,224,265,221
"59",226,234,218,299,246,344,246
"60",246,219,221,303,235,283,234
"61",247,236,218,295,243,374,249
"62",241,253,222,282,250,350,249
"63",224,234,211,314,231,365,246
"64",202,226,189,277,231,321,217
"65",213,230,186,268,224,344,215
"66",238,235,218,298,253,372,260
"67",231,257,225,263,255,352,266
"68",229,204,187,290,219,258,192
"69",235,231,227,307,242,352,238
"70",220,206,191,273,217,258,180
"71",238,256,205,268,238,343,237
"72",224,216,228,310,225,275,226
"73",239,220,195,285,206,250,186
"74",231,275,207,285,257,339,226
"75",266,221,227,310,223,269,235
"76",237,245,218,305,259,341,239
"77",217,246,206,282,221,350,250
"78",213,245,214,295,238,339,242
"79",233,214,216,296,227,279,232
"80",230,215,219,296,238,273,233
"81",233,222,228,302,234,286,234
"82",211,219,194,269,234,337,213
"83",226,248,215,315,238,375,225
"84",242,237,221,304,226,295,228
"85",202,228,219,302,239,341,239
"86",240,222,211,294,213,306,223
"87",225,241,217,295,240,360,260
"88",213,214,187,276,197,246,191
"89",220,239,223,306,250,356,232
"90",224,245,207,286,231,352,225
"91",234,247,210,275,231,343,242
"92",244,230,219,311,228,294,220
"93",237,236,220,272,247,347,250
"94",233,238,222,297,229,297,241
"95",235,225,215,303,216,285,229
"96",236,242,213,282,245,356,258
"97",218,241,194,253,219,324,225
"98",234,247,224,273,249,348,242
"99",219,238,212,291,240,349,238
"100",250,219,210,297,228,287,226
"101",271,230,226,307,223,279,232
"102",220,251,211,267,240,351,237
"103",236,242,214,292,248,359,253
"104",241,217,221,302,196,264,235
"105",210,262,219,268,221,344,228
"106",261,215,225,313,234,291,230
"107",216,252,222,265,221,364,242
"108",231,252,215,255,232,356,242
"109",212,249,182,251,225,327,227
"110",222,206,194,277,202,238,187
"111",204,240,217,290,241,352,239
"112",215,219,195,273,240,349,198
"113",237,221,220,291,233,303,225
"114",213,229,191,258,225,334,201
"115",202,227,183,249,222,325,205
"116",257,242,226,299,261,345,232
"117",216,242,235,304,238,359,240
"118",215,248,202,285,229,338,223
"119",208,215,195,288,210,237,185
"120",223,251,202,296,250,362,239
"121",230,220,217,306,216,293,232
"122",224,251,206,270,218,355,251
"123",243,247,210,276,224,336,233
"124",210,238,186,244,217,331,206
"125",221,217,185,277,207,261,198
"126",238,248,217,280,243,351,235
"127",231,243,187,249,217,322,211
"128",246,241,217,303,258,357,245
"129",247,252,214,268,242,335,227
"130",207,246,185,253,229,327,207
"131",243,213,205,287,205,275,218
"132",215,230,187,254,224,326,221
"133",242,238,211,293,232,268,220
"134",237,223,215,308,210,295,219
"135",213,227,197,278,233,331,203
"136",217,216,198,280,217,247,192
"137",248,218,234,289,230,278,224
"138",225,222,224,307,227,277,232
"139",236,242,222,300,248,353,248
"140",248,248,204,258,237,354,247
"141",218,223,215,306,210,270,224
"142",243,226,211,296,230,266,235
"143",235,251,214,261,235,355,238
"144",234,238,223,313,233,358,246
"145",242,250,216,265,245,352,237
